Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
87,Entrada en largo,2026-06-05 08:50,Scripted Long,7561.75,1,378087.5,-8437.5,-2.23,12.5,0.00,-10312.5,-2.73,23362.5,233.63,140
88,Salida en corto,2026-06-08 13:30,Scripted Long,7442.5,1,369650,-2475,-0.67,437.5,0.12,-4187.5,-1.13,20887.5,208.88,192
88,Entrada en corto,2026-06-07 21:30,Scripted Short,7393,1,369650,-2475,-0.67,437.5,0.12,-4187.5,-1.13,20887.5,208.88,192
89,Salida en largo,2026-06-09 05:30,Scripted Exit All,7449.5,1,372125,350,0.09,412.5,0.11,-2612.5,-0.70,21237.5,212.37,180
89,Entrada en largo,2026-06-08 13:30,Scripted Long,7442.5,1,372125,350,0.09,412.5,0.11,-2612.5,-0.70,21237.5,212.37,180
90,Salida en corto,2026-06-09 10:45,Scripted Exit All,7407.75,1,373262.5,2875,0.77,2987.5,0.80,-350,-0.09,24112.5,241.13,9
90,Entrada en corto,2026-06-09 10:00,Scripted Short,7465.25,1,373262.5,2875,0.77,2987.5,0.80,-350,-0.09,24112.5,241.13,9
91,Salida en largo,2026-06-10 09:50,Scripted Exit All,7386.75,1,368337.5,1000,0.27,1187.5,0.32,-3062.5,-0.83,25112.5,251.13,100
91,Entrada en largo,2026-06-10 01:30,Scripted Long,7366.75,1,368337.5,1000,0.27,1187.5,0.32,-3062.5,-0.83,25112.5,251.13,100
92,Salida en corto,2026-06-10 22:35,Scripted Exit All,7276.25,1,364700,887.5,0.24,1062.5,0.29,-150,-0.04,26000,260.00,9
92,Entrada en corto,2026-06-10 21:50,Scripted Short,7294,1,364700,887.5,0.24,1062.5,0.29,-150,-0.04,26000,260.00,9
93,Salida en largo,2026-06-11 15:20,Scripted Exit All,7393.75,1,366412.5,3275,0.89,3312.5,0.90,-3262.5,-0.89,29275,292.75,93
93,Entrada en largo,2026-06-11 07:35,Scripted Long,7328.25,1,366412.5,3275,0.89,3312.5,0.90,-3262.5,-0.89,29275,292.75,93
94,Salida en corto,2026-06-12 10:10,Scripted Long,7418.25,1,370600,-312.5,-0.08,2275,0.61,-1962.5,-0.53,28962.5,289.63,66
