Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
53,Salida en corto,2026-05-05 00:50,Scripted Exit All,1.17055,1,146368.75,50,0.03,56.25,0.04,-12.5,-0.01,1062.5,10.63,22
53,Entrada en corto,2026-05-04 23:00,Scripted Short,1.17095,1,146368.75,50,0.03,56.25,0.04,-12.5,-0.01,1062.5,10.63,22
54,Salida en corto,2026-05-05 18:55,Scripted Long,1.17245,1,146287.5,-268.75,-0.18,6.25,0.00,-418.75,-0.29,793.75,7.94,186
54,Entrada en corto,2026-05-05 02:25,Scripted Short,1.1703,1,146287.5,-268.75,-0.18,6.25,0.00,-418.75,-0.29,793.75,7.94,186
55,Salida en largo,2026-05-05 19:20,Scripted Exit All,1.17455,1,146556.25,262.5,0.18,275,0.19,0,0.00,1056.25,10.56,5
55,Entrada en largo,2026-05-05 18:55,Scripted Long,1.17245,1,146556.25,262.5,0.18,275,0.19,0,0.00,1056.25,10.56,5
56,Salida en largo,2026-05-06 05:35,Scripted Exit All,1.17915,1,146875,518.75,0.35,562.5,0.38,-43.75,-0.03,1575,15.75,61
56,Entrada en largo,2026-05-06 00:30,Scripted Long,1.175,1,146875,518.75,0.35,562.5,0.38,-43.75,-0.03,1575,15.75,61
57,Salida en corto,2026-05-06 19:55,Scripted Exit All,1.17675,1,147118.75,25,0.02,31.25,0.02,-37.5,-0.03,1600,16.00,34
57,Entrada en corto,2026-05-06 16:05,Scripted Short,1.17695,1,147118.75,25,0.02,31.25,0.02,-37.5,-0.03,1600,16.00,34
58,Salida en corto,2026-05-07 14:55,Scripted Exit All,1.1765,1,147081.25,18.75,0.01,137.5,0.09,-400,-0.27,1618.75,16.19,144
58,Entrada en corto,2026-05-07 02:55,Scripted Short,1.17665,1,147081.25,18.75,0.01,137.5,0.09,-400,-0.27,1618.75,16.19,144
59,Salida en corto,2026-05-07 16:45,Scripted Exit All,1.175,1,147006.25,131.25,0.09,137.5,0.09,-100,-0.07,1750,17.50,17
59,Entrada en corto,2026-05-07 15:20,Scripted Short,1.17605,1,147006.25,131.25,0.09,137.5,0.09,-100,-0.07,1750,17.50,17
60,Salida en largo,2026-05-08 15:05,Scripted Exit All,1.18,1,147462.5,37.5,0.03,125,0.08,-137.5,-0.09,1787.5,17.88,78
60,Entrada en largo,2026-05-08 08:35,Scripted Long,1.1797,1,147462.5,37.5,0.03,125,0.08,-137.5,-0.09,1787.5,17.88,78
61,Salida en corto,2026-05-10 23:25,Scripted Exit All,1.1777,1,147250,37.5,0.03,50,0.03,-137.5,-0.09,1825,18.25,64
61,Entrada en corto,2026-05-10 18:05,Scripted Short,1.178,1,147250,37.5,0.03,50,0.03,-137.5,-0.09,1825,18.25,64
62,Salida en largo,2026-05-11 09:55,Scripted Exit All,1.18055,1,147425,143.75,0.10,162.5,0.11,0,0.00,1968.75,19.69,11
62,Entrada en largo,2026-05-11 09:00,Scripted Long,1.1794,1,147425,143.75,0.10,162.5,0.11,0,0.00,1968.75,19.69,11
63,Salida en largo,2026-05-11 18:20,Scripted Exit All,1.1806,1,147493.75,81.25,0.06,87.5,0.06,-6.25,0.00,2050,20.50,11
63,Entrada en largo,2026-05-11 16:25,Scripted Long,1.17995,1,147493.75,81.25,0.06,87.5,0.06,-6.25,0.00,2050,20.50,11
64,Salida en corto,2026-05-12 00:15,Scripted Exit All,1.17745,1,147237.5,56.25,0.04,68.75,0.05,0,0.00,2106.25,21.06,14
64,Entrada en corto,2026-05-11 23:05,Scripted Short,1.1779,1,147237.5,56.25,0.04,68.75,0.05,0,0.00,2106.25,21.06,14
65,Salida en corto,2026-05-12 04:10,Scripted Exit All,1.17625,1,147181.25,150,0.10,156.25,0.11,-156.25,-0.11,2256.25,22.56,36
65,Entrada en corto,2026-05-12 01:10,Scripted Short,1.17745,1,147181.25,150,0.10,156.25,0.11,-156.25,-0.11,2256.25,22.56,36
66,Salida en largo,2026-05-14 08:35,Scripted Short,1.1717,1,146668.75,-206.25,-0.14,56.25,0.04,-231.25,-0.16,2050,20.50,131
66,Entrada en largo,2026-05-13 21:40,Scripted Long,1.17335,1,146668.75,-206.25,-0.14,56.25,0.04,-231.25,-0.16,2050,20.50,131
67,Salida en corto,2026-05-14 09:40,Scripted Exit All,1.1704,1,146462.5,162.5,0.11,168.75,0.12,-12.5,-0.01,2212.5,22.13,13
67,Entrada en corto,2026-05-14 08:35,Scripted Short,1.1717,1,146462.5,162.5,0.11,168.75,0.12,-12.5,-0.01,2212.5,22.13,13
68,Salida en corto,2026-05-14 12:40,Scripted Exit All,1.169,1,146275,150,0.10,193.75,0.13,-31.25,-0.02,2362.5,23.63,21
68,Entrada en corto,2026-05-14 10:55,Scripted Short,1.1702,1,146275,150,0.10,193.75,0.13,-31.25,-0.02,2362.5,23.63,21
69,Salida en largo,2026-05-18 18:05,Scripted Exit All,1.1675,1,145768.75,168.75,0.12,193.75,0.13,-225,-0.15,2531.25,25.31,113
69,Entrada en largo,2026-05-18 07:40,Scripted Long,1.16615,1,145768.75,168.75,0.12,193.75,0.13,-225,-0.15,2531.25,25.31,113
70,Salida en corto,2026-05-19 04:25,Scripted Exit All,1.1643,1,145650,112.5,0.08,137.5,0.09,-25,-0.02,2643.75,26.44,19
70,Entrada en corto,2026-05-19 02:50,Scripted Short,1.1652,1,145650,112.5,0.08,137.5,0.09,-25,-0.02,2643.75,26.44,19
71,Salida en corto,2026-05-19 09:35,Scripted Exit All,1.16185,1,145343.75,112.5,0.08,137.5,0.09,-137.5,-0.09,2756.25,27.56,34
71,Entrada en corto,2026-05-19 06:45,Scripted Short,1.16275,1,145343.75,112.5,0.08,137.5,0.09,-137.5,-0.09,2756.25,27.56,34
72,Salida en corto,2026-05-19 11:10,Scripted Exit All,1.1609,1,145243.75,131.25,0.09,156.25,0.11,-18.75,-0.01,2887.5,28.88,11
72,Entrada en corto,2026-05-19 10:15,Scripted Short,1.16195,1,145243.75,131.25,0.09,156.25,0.11,-18.75,-0.01,2887.5,28.88,11
73,Salida en corto,2026-05-20 10:00,Scripted Exit All,1.1605,1,145118.75,56.25,0.04,150,0.10,-137.5,-0.09,2943.75,29.44,136
